,press_date,press_name,ranking,title
0,2024. 9. 16. 월,중앙일보,1,한해 입장료 3954억 넘었다…초대박 터진 사찰의 비결
1,2024. 9. 16. 월,중앙일보,2,주지스님 몰던 차에 치여 숨졌다…고향집 찾은 30대 참변
2,2024. 9. 16. 월,중앙일보,3,"""유튜브 보는데 아빠가 죽었다고""…김봉곤 딸 오열한 사연"
3,2024. 9. 16. 월,중앙일보,4,"결혼, 이혼, 동거 중…함소원 ""내 미래 어떻게 될지 모르겠다"""
4,2024. 9. 16. 월,중앙일보,5,"폭삭 늙던 뇌가 젊어진다, 40대에 꼭 해야 할 2가지"
5,2024. 9. 16. 월,중앙일보,6,"""화장실? 청소해 줄게요""…친절했던 가게 사장님 충격 정체"
6,2024. 9. 16. 월,중앙일보,7,"""요즘 살빠지니까""…미코 출신 레이싱모델 신해리 32세로 사망"
7,2024. 9. 16. 월,중앙일보,8,친윤서 반윤으로 떠난 이원석…'현대사 압축판' 검찰총장 수난사
8,2024. 9. 16. 월,중앙일보,9,"전시작품에 '오빠 사랑해'…""미친 사람"" 분노 부른 한글 낙서"
9,2024. 9. 16. 월,중앙일보,10,"지구당, 가사도우미 놓고도 붙었다…韓과 대립각 세운 오세훈"
10,2024. 9. 16. 월,YTN,1,필리핀에 떨어진 소행성...지구 충돌 11시간 전 발견
11,2024. 9. 16. 월,YTN,2,가장 막혔던 연휴 둘째 날...연쇄 추돌에 화재까지
12,2024. 9. 16. 월,YTN,3,"탈출했던 애완용 도마뱀 포획...""주인에게 인계"""
13,2024. 9. 16. 월,YTN,4,의사 블랙리스트 또 업데이트...경찰에 대통령까지 조롱
14,2024. 9. 16. 월,YTN,5,"6년째 끊긴 이산가족 상봉...윤 대통령 ""시급한 문제"""
15,2024. 9. 16. 월,YTN,6,"이란 ""자체 개발 인공위성 궤도 진입""...미영, 러·이란 군사협력 주목"
16,2024. 9. 16. 월,YTN,7,"[날씨] ""이렇게 더운 추석 처음""...서울 등 폭염특보, 가장 더운 9월"
17,2024. 9. 16. 월,YTN,8,"윤, 경찰·소방서 격려 방문...김 여사, 장애아 시설 찾아"
18,2024. 9. 16. 월,YTN,9,고속도로 2차 사고 주의!...브레이크 이렇게 밟아야
19,2024. 9. 16. 월,한국경제,1,"줄줄이 문 닫더니…""가성비 미쳤네"" 오픈런까지 '반전 대박'"
20,2024. 9. 16. 월,한국경제,2,"양수 터진 임신부, 병원 75곳서 거부 당해…6시간 만에 치료"
21,2024. 9. 16. 월,한국경제,3,"""파산하겠네"" 부모들 큰일 났다더니…2030까지 푹 빠졌다 [현장+]"
